127.0.0.1, 2015-04-12 18:39:29, GET, /, HTTP/1.1, 303, 0.000774
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.193083
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000402
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000284
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002472
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002019
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001072
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001129
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001286
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000639
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000340
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000596
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000291
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000409
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000398
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000654
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001175
127.0.0.1, 2015-04-12 18:39:29, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000910
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/default/site, HTTP/1.1, 303, 0.041755
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/default/index, HTTP/1.1, 200, 0.040076
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/js/jquery.js, HTTP/1.1, 200, 0.000982
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/css/calendar.css, HTTP/1.1, 200, 0.001021
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/js/calendar.js, HTTP/1.1, 200, 0.000837
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/js/web2py.js, HTTP/1.1, 200, 0.000953
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001014
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000703
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000828
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001130
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000995
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000757
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001269
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000830
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000450
127.0.0.1, 2015-04-12 18:39:45, GET, /admin/static/_2.10.3/images/questions.png, HTTP/1.1, 200, 0.000319
127.0.0.1, 2015-04-12 18:39:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2015-04-12 18:39:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2015-04-12 18:39:47, POST, /admin/default/index, HTTP/1.1, 303, 0.024067
127.0.0.1, 2015-04-12 18:39:48, GET, /admin/default/site, HTTP/1.1, 200, 0.123272
127.0.0.1, 2015-04-12 18:39:48, GET, /admin/static/_2.10.3/images/folder_locked.png, HTTP/1.1, 200, 0.000301
127.0.0.1, 2015-04-12 18:39:48, GET, /admin/static/_2.10.3/images/folder.png, HTTP/1.1, 200, 0.000338
127.0.0.1, 2015-04-12 18:39:48, GET, /admin/static/_2.10.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000397
127.0.0.1, 2015-04-12 18:39:48, POST, /admin/default/check_version, HTTP/1.1, 200, 0.421656
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/default/index, HTTP/1.1, 200, 0.134589
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000871
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001104
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001510
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/css/calendar.css, HTTP/1.1, 200, 0.000674
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/js/jquery.js, HTTP/1.1, 200, 0.001400
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002082
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/js/web2py.js, HTTP/1.1, 200, 0.000624
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/js/calendar.js, HTTP/1.1, 200, 0.001019
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000308
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/js/share.js, HTTP/1.1, 200, 0.000614
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000932
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/images/favicon.ico, HTTP/1.1, 200, 0.000284
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/images/background.jpg, HTTP/1.1, 200, 0.000290
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000278
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/images/facebook.png, HTTP/1.1, 200, 0.000594
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/images/twitter.png, HTTP/1.1, 200, 0.001006
127.0.0.1, 2015-04-12 18:39:50, GET, /SUTBackoffice/static/images/gplus-32.png, HTTP/1.1, 200, 0.000819
127.0.0.1, 2015-04-12 18:46:48, GET, /SUTBackoffice/default/index, HTTP/1.1, 500, 0.049177
